Encryption Throughput (MB/s),Decryption Throughput (MB/s),File Size (bytes),Algorithm
527.8350515463917,1122.1917808219177,102400,AES (128-bit)
10.424513895958464,1.319396350400232,102400,3DES
959.2505854800937,1581.4671814671815,102400,ChaCha20
35.6825507448384,38.073991448224575,102400,Camellia (128-bit)
10.616899948159668,640.0,10240,AES (128-bit)
9.435613913844737,9.787335722819593,10240,3DES
890.4347826086956,1575.3846153846155,10240,ChaCha20
34.247491638795985,35.4019014693172,10240,Camellia (128-bit)
19.390326158261487,10.52135373970141,10485760,AES (128-bit)
1.308859047845036,1.036288980628928,10485760,3DES
12.16785314459926,16.798341594389104,10485760,ChaCha20
3.1530115354722295,2.956890546651649,10485760,Camellia (128-bit)
141.24137931034483,195.04761904761904,1024,AES (128-bit)
9.459584295612009,9.570093457943925,1024,3DES
240.94117647058823,512.0,1024,ChaCha20
24.38095238095238,29.681159420289855,1024,Camellia (128-bit)
597.7346444349437,755.3221681973708,1048576,AES (128-bit)
1.39440986561576,5.240070012455821,1048576,3DES
1079.8928939237899,1270.616176916086,1048576,ChaCha20
2.3180403864668087,1.5006900026011505,1048576,Camellia (128-bit)
538.9473684210526,1092.2666666666667,20480,AES (128-bit)
10.268237653547255,10.157470551766894,20480,3DES
1388.4745762711864,1489.4545454545455,20480,ChaCha20
37.1350861287398,38.990956687291764,20480,Camellia (128-bit)
4.574850345120391,7.904388332506015,20971520,AES (128-bit)
0.9643349863827445,1.8326235563100393,20971520,3DES
4.66992513407804,8.385232105554303,20971520,ChaCha20
2.397955013931172,2.2558837644668768,20971520,Camellia (128-bit)
273.06666666666666,512.0,2048,AES (128-bit)
9.570093457943925,9.71767497034401,2048,3DES
282.48275862068965,1024.0,2048,ChaCha20
28.248275862068965,36.73542600896861,2048,Camellia (128-bit)
487.3414279904723,69.51174603700727,2097152,AES (128-bit)
1.1178611753828778,1.5220038627937125,2097152,3DES
699.0506666666666,730.5240790734128,2097152,ChaCha20
4.930215008325159,4.170314267178059,2097152,Camellia (128-bit)
696.5986394557823,1131.4917127071824,51200,AES (128-bit)
10.724197517934755,2.975662913185616,51200,3DES
1288.0503144654087,2111.340206185567,51200,ChaCha20
37.64705882352941,38.89838556505223,51200,Camellia (128-bit)
525.1282051282051,682.6666666666666,5120,AES (128-bit)
10.51874678993323,10.39066463723998,5120,3DES
538.9473684210526,787.6923076923077,5120,ChaCha20
33.19286871961102,37.855822550831796,5120,Camellia (128-bit)
39.10831303777026,26.054263980012845,5242880,AES (128-bit)
1.2764349570535418,1.346958400435517,5242880,3DES
310.4776004500637,23.81352082992678,5242880,ChaCha20
2.994702744816698,3.1719904953058853,5242880,Camellia (128-bit)
894.3231441048035,1075.0656167979002,102400,AES (128-bit)
1.0178698786557954,0.37359786786529314,102400,3DES
1417.3010380622836,1606.2745098039215,102400,ChaCha20
38.597813795702976,38.38800374882849,102400,Camellia (128-bit)
512.0,758.5185185185185,10240,AES (128-bit)
10.987124463519313,11.12136844963345,10240,3DES
611.3432835820895,1077.8947368421052,10240,ChaCha20
37.406392694063925,37.168784029038115,10240,Camellia (128-bit)
12.045332427366366,8.866153197037558,10485760,AES (128-bit)
1.0888321384997937,0.9782294192672413,10485760,3DES
12.004947030651039,14.79208818182299,10485760,ChaCha20
2.4123018708535455,2.677185528339759,10485760,Camellia (128-bit)
107.78947368421052,315.0769230769231,1024,AES (128-bit)
8.015655577299412,10.694516971279374,1024,3DES
124.12121212121212,512.0,1024,ChaCha20
28.643356643356643,35.00854700854701,1024,Camellia (128-bit)
621.1023248926404,797.3961977186311,1048576,AES (128-bit)
3.5589949325757653,3.2456543961345927,1048576,3DES
948.7229133680163,1107.5532083443359,1048576,ChaCha20
3.507406496844901,3.754753752019802,1048576,Camellia (128-bit)
724.9557522123894,1137.7777777777778,20480,AES (128-bit)
11.083750507373834,11.018157363819771,20480,3DES
1137.7777777777778,1545.6603773584907,20480,ChaCha20
38.623290900518626,37.27024567788899,20480,Camellia (128-bit)
6.684956789604482,8.547987796868961,20971520,AES (128-bit)
1.0516242907503837,3.118205162136403,20971520,3DES
6.715905599208624,8.647960330305873,20971520,ChaCha20
2.374173468689149,2.8665677314572005,20971520,Camellia (128-bit)
282.48275862068965,455.1111111111111,2048,AES (128-bit)
10.11358024691358,10.227215980024969,2048,3DES
240.94117647058823,481.88235294117646,2048,ChaCha20
27.125827814569536,36.9009009009009,2048,Camellia (128-bit)
482.40887917649087,25.512099729630272,2097152,AES (128-bit)
2.20652213082823,1.7817985940359529,2097152,3DES
807.7619643716899,890.8887000849618,2097152,ChaCha20
3.6078172309386183,2.817103698036969,2097152,Camellia (128-bit)
547.5935828877006,1190.6976744186047,51200,AES (128-bit)
10.807958203599135,0.48712148781363795,51200,3DES
1107.027027027027,1969.2307692307693,51200,ChaCha20
