File Size (bytes),Algorithm,Encryption Time (s),Decryption Time (s)
2048,3DES,0.00020885467529296875,0.0001819133758544922
2048,ChaCha20,2.002716064453125e-05,2.1457672119140625e-06
2048,Camellia (128-bit),6.890296936035156e-05,5.507469177246094e-05
2097152,AES (128-bit),0.01883697509765625,0.03361105918884277
2097152,3DES,0.20336031913757324,0.22238779067993164
2097152,ChaCha20,0.014857292175292969,0.03162693977355957
2097152,Camellia (128-bit),0.06995511054992676,0.08617806434631348
51200,AES (128-bit),0.0016040802001953125,0.00025081634521484375
51200,3DES,0.004797935485839844,0.004662990570068359
51200,ChaCha20,6.604194641113281e-05,0.00015687942504882812
51200,Camellia (128-bit),0.0013439655303955078,0.0013899803161621094
5120,AES (128-bit),0.00035381317138671875,8.106231689453125e-06
5120,3DES,0.000492095947265625,0.00045108795166015625
5120,ChaCha20,1.9073486328125e-05,2.86102294921875e-06
5120,Camellia (128-bit),0.00014781951904296875,0.00013208389282226562
5242880,AES (128-bit),0.10949397087097168,0.21868491172790527
5242880,3DES,0.579876184463501,0.6890578269958496
5242880,ChaCha20,0.10783123970031738,0.2138669490814209
5242880,Camellia (128-bit),0.24321794509887695,0.35163211822509766
