Algorithm,Operation,mean,std
Diffie-Hellman,Key Exchange,0.0026115288337071737,0.000969307407295559
ECC-P256,Signing,0.00012620786825815836,0.0004171432857151716
ECC-P256,Verification,0.0001681894063949585,0.00014348104079074607
RSA-2048,Decryption,0.0011228114366531373,0.0004299068206410167
RSA-2048,Encryption,8.631646633148194e-05,6.840686925165768e-05
