Algorithm,Average CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),Hashing Duration (s)
BLAKE2b,55.84515694444444,105.26840277777778,105.26802734375,0.03055712381998698
MD5,52.395661805555555,105.91006944444445,105.54606412760417,0.05542932616339789
SHA-1,55.69014027777777,105.25173611111111,105.24762358940973,0.01439451641506619
SHA-256,55.82019583333333,105.25347222222223,105.2521183810764,0.014311334821912977
SHA3-256,55.86544513888889,105.26736111111111,105.26446028645833,0.04386438793606228
