Algorithm,Initialization Time (µs)
MD5,15.2587890625
MD5,0.95367431640625
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,1.1920928955078125
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,1.1920928955078125
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,1.1920928955078125
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,1.1920928955078125
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.7152557373046875
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,1.1920928955078125
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,1.1920928955078125
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,1.1920928955078125
MD5,0.0
MD5,0.0
MD5,0.0
MD5,1.6689300537109375
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,1.1920928955078125
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,1.1920928955078125
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.7152557373046875
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,1.1920928955078125
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.95367431640625
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
MD5,0.0
