Algorithm,mean,std
BLAKE2b,50.18663194444444,2.1974946832767337
MD5,50.989583333333336,4.37969005914854
SHA-1,50.666666666666664,3.372052585053149
SHA-256,49.49652777777778,3.1290171071343265
SHA3-256,50.572916666666664,3.8863127571762557
