File Size (bytes),BLAKE2b,MD5,SHA-1,SHA-256,SHA3-256
1024,62.632385971516406,4.117289313495796,48.02308802308803,63.044005501084655,55.30674708969178
2048,135.90888709532777,2.327867065024686,76.4564664805809,134.06867932358128,119.72993516655488
5120,272.2436805561902,11.670383873650058,209.2698412698413,308.34583844000036,246.13542835765057
10240,395.8360636063606,10.84312900600815,251.13731613017202,468.0553042208359,337.5874994354875
20480,510.0281747238269,25.679757909202632,486.88231646029817,712.4661145359819,451.81320450885664
51200,746.5721602905718,152.24996666782275,1059.146651612794,1346.3437055852912,540.0817627735775
102400,674.8548516996873,149.64355505238544,1192.912828855838,1252.666025115771,495.57757388753663
1048576,707.6529074310807,322.2005960482771,1484.59260293286,1600.6996238540148,543.8181339720736
2097152,883.7664502115373,367.99765970144153,1930.514847660784,2008.7326143508533,625.0345568775366
5242880,898.0660858867209,442.24931783356504,1961.0156277699016,2012.5471435723414,628.2532776568726
10485760,869.2975827276726,431.30569672034125,1820.758643945787,1720.7763975099733,616.194599077155
20971520,876.6196098809829,452.35482443353436,1891.9684615304711,1935.3669156684555,619.4356539694815
52428800,864.440163777983,459.240900408917,1815.0042098830766,1900.815478273623,612.8310483020612
104857600,861.2219611057927,447.57753744757787,1825.1801799192244,1815.6398734539678,603.5641705806038
209715200,850.4838519971491,451.2333720865897,1821.2437857924476,1827.8434746371447,574.8136981611024
