Algorithm,mean,std
BLAKE2b,0.06365776062011719,0.24555629525333764
MD5,0.1819133758544922,0.6104347419305359
SHA-1,0.16546249389648438,0.3884846949128238
SHA-256,0.16069412231445312,0.38342498650061296
SHA3-256,0.22339820861816406,0.4546653972877098
