File Size (bytes),Algorithm,Initialization Time (µs),Block Processing Time (µs),Key Scheduling Time (µs),File Processing Time (s)
51200,ChaCha20,10.013580322265625,,,
51200,Camellia (128-bit),5.9604644775390625,0.95367431640625,1.9073486328125,0.001280069351196289
5120,AES (128-bit),5.0067901611328125,0.95367431640625,0.95367431640625,0.00022411346435546875
5120,3DES,2.86102294921875,2.86102294921875,2.1457672119140625,0.00045609474182128906
5120,ChaCha20,5.9604644775390625,,,
5120,Camellia (128-bit),6.198883056640625,1.9073486328125,2.1457672119140625,0.0001571178436279297
5242880,AES (128-bit),5.7220458984375,0.95367431640625,1.9073486328125,0.006201267242431641
5242880,3DES,10.013580322265625,2.86102294921875,1.9073486328125,0.4543302059173584
5242880,ChaCha20,30.279159545898438,,,
5242880,Camellia (128-bit),9.775161743164062,3.0994415283203125,2.1457672119140625,0.12954497337341309
102400,AES (128-bit),13.828277587890625,0.95367431640625,1.1920928955078125,0.0010857582092285156
102400,3DES,6.9141387939453125,3.0994415283203125,1.9073486328125,0.008761167526245117
102400,ChaCha20,8.821487426757812,,,
102400,Camellia (128-bit),5.9604644775390625,1.1920928955078125,3.0994415283203125,0.002521991729736328
10240,AES (128-bit),10.013580322265625,0.95367431640625,2.1457672119140625,0.00022077560424804688
10240,3DES,5.0067901611328125,2.6226043701171875,1.9073486328125,0.0008997917175292969
10240,ChaCha20,6.9141387939453125,,,
10240,Camellia (128-bit),6.9141387939453125,2.1457672119140625,1.9073486328125,0.00028705596923828125
10485760,AES (128-bit),5.0067901611328125,0.95367431640625,0.95367431640625,0.011716127395629883
10485760,3DES,10.967254638671875,3.0994415283203125,0.95367431640625,0.9229660034179688
10485760,ChaCha20,33.14018249511719,,,
10485760,Camellia (128-bit),9.775161743164062,2.1457672119140625,1.9073486328125,0.2680349349975586
1024,AES (128-bit),27.894973754882812,0.95367431640625,2.1457672119140625,0.0001461505889892578
1024,3DES,8.821487426757812,4.291534423828125,2.1457672119140625,0.00012969970703125
1024,ChaCha20,12.159347534179688,,,
1024,Camellia (128-bit),6.198883056640625,1.9073486328125,0.95367431640625,5.030632019042969e-05
1048576,AES (128-bit),6.9141387939453125,1.1920928955078125,1.9073486328125,0.0019390583038330078
1048576,3DES,6.9141387939453125,2.6226043701171875,2.1457672119140625,0.13556814193725586
1048576,ChaCha20,40.0543212890625,,,
1048576,Camellia (128-bit),11.205673217773438,4.0531158447265625,1.9073486328125,0.028924226760864258
20480,AES (128-bit),28.133392333984375,1.9073486328125,1.9073486328125,0.0002410411834716797
20480,3DES,8.821487426757812,2.86102294921875,2.1457672119140625,0.0019316673278808594
20480,ChaCha20,16.21246337890625,,,
20480,Camellia (128-bit),7.152557373046875,2.1457672119140625,1.9073486328125,0.0006170272827148438
20971520,AES (128-bit),7.8678131103515625,0.95367431640625,2.1457672119140625,0.024424314498901367
20971520,3DES,22.88818359375,4.0531158447265625,1.9073486328125,1.9157898426055908
20971520,ChaCha20,26.941299438476562,,,
20971520,Camellia (128-bit),9.775161743164062,2.1457672119140625,1.1920928955078125,0.5161178112030029
2048,AES (128-bit),29.087066650390625,0.95367431640625,0.7152557373046875,0.00027823448181152344
2048,3DES,7.152557373046875,3.0994415283203125,2.1457672119140625,0.0002028942108154297
2048,ChaCha20,8.344650268554688,,,
2048,Camellia (128-bit),5.9604644775390625,1.1920928955078125,1.6689300537109375,8.130073547363281e-05
2097152,AES (128-bit),5.9604644775390625,0.95367431640625,1.9073486328125,0.003522157669067383
2097152,3DES,5.245208740234375,1.9073486328125,0.95367431640625,0.18043303489685059
2097152,ChaCha20,24.080276489257812,,,
2097152,Camellia (128-bit),9.059906005859375,2.1457672119140625,1.9073486328125,0.05275702476501465
51200,AES (128-bit),16.927719116210938,0.95367431640625,1.6689300537109375,0.0007929801940917969
51200,3DES,6.198883056640625,4.0531158447265625,1.9073486328125,0.004776954650878906
51200,ChaCha20,11.920928955078125,,,
51200,Camellia (128-bit),7.8678131103515625,1.9073486328125,2.1457672119140625,0.0014889240264892578
5120,AES (128-bit),8.106231689453125,0.95367431640625,2.1457672119140625,0.00023603439331054688
5120,3DES,8.821487426757812,2.86102294921875,2.1457672119140625,0.00047898292541503906
5120,ChaCha20,9.775161743164062,,,
5120,Camellia (128-bit),8.106231689453125,1.6689300537109375,2.1457672119140625,0.0001609325408935547
5242880,AES (128-bit),6.198883056640625,1.1920928955078125,1.9073486328125,0.007817268371582031
5242880,3DES,11.920928955078125,2.86102294921875,2.1457672119140625,0.46036314964294434
5242880,ChaCha20,15.974044799804688,,,
5242880,Camellia (128-bit),7.8678131103515625,1.9073486328125,1.9073486328125,0.12967991828918457
